,Scores
2184,0.6263730401751275
842,0.35596988489076353
2279,0.3143732459090791
822,0.3098905321591874
734,0.3070168749497597
2214,0.27337548814220036
58,0.26633046349942346
1014,0.26026147404922506
1664,0.2502370491563797
836,0.2465088893260836
843,0.24464324993874098
2723,0.24436096791073325
1139,0.2438807033066297
825,0.24260450120299426
851,0.2419426089560459
502,0.24021915532289828
2223,0.23829279206589837
1653,0.23717415821773158
2736,0.227883800427374
2220,0.22724169562639918
18,0.22633994601025287
2123,0.2241643158268829
2336,0.22056299973969984
2351,0.22037817074847732
2737,0.21924965329941837
736,0.21713610314629594
2309,0.2166164486613682
488,0.21506491285926033
857,0.21325688924443442
809,0.21293598722394091
1848,0.21273488203696922
116,0.20941505499330804
678,0.20829874784366753
1143,0.2048426117685378
179,0.20318748251775687
874,0.20027081015216797
332,0.20026973299886297
1661,0.19957100211457535
2272,0.19931714291334757
1278,0.19736980719068553
841,0.1957698223060964
2230,0.19231958251137726
510,0.19179430002982412
1675,0.19169890849325544
428,0.1913113241706872
1672,0.19058796369368092
852,0.18962252643566524
1036,0.18846620082711185
2748,0.18528678982417146
445,0.1851076132701801
1656,0.18431706049376095
844,0.18374472354576277
846,0.1835315809886955
2752,0.18342417134504996
182,0.1832780398881768
1050,0.18324077640334258
1087,0.18284332376151013
55,0.18276501862438166
183,0.1814798407819278
2289,0.18104699859831164
1957,0.18031346060780806
2727,0.17917263279786355
849,0.17869399593921398
668,0.1782303795846949
1860,0.17733180256008652
1018,0.17589388425479502
837,0.1757565588948824
1217,0.17509727942171427
909,0.17497528433619514
859,0.1741582040363583
882,0.17415528195582097
850,0.17313970396058287
864,0.17300702457712958
804,0.171509673980492
33,0.17114265619446933
1662,0.16988607455503502
2347,0.16988329330922003
1708,0.16897791652156458
1253,0.16892341285873425
814,0.16833928663363373
2657,0.16774432059749134
2212,0.16751333861028384
738,0.16699643965146804
2286,0.16616681588935012
2754,0.1647129233910778
1364,0.16418489626314892
1640,0.16380467172440571
2327,0.16370207606298748
881,0.1629615186240847
333,0.16288076447696964
464,0.16280610660964734
115,0.16179219864536942
340,0.16131899955617923
2196,0.16097339079592476
2733,0.16076586086206635
2307,0.15974825755034483
480,0.15946114472088735
2112,0.15901787819457813
2730,0.15889645988120926
1379,0.15861926809008597
1949,0.15834659689017005
876,0.15807977381529748
51,0.15797230451587763
1026,0.1577525193277245
2210,0.15718957813729784
2761,0.15604050182710938
958,0.15584855027447642
2265,0.15562709052113255
2043,0.15473669785923194
883,0.1546729075103963
2355,0.15461816135368522
1573,0.1545908150616333
828,0.15417385158508612
1673,0.1533130117389374
2715,0.15296462895258234
2712,0.15230757141616036
2056,0.15140925864223487
1973,0.15121107743886153
189,0.1508293643806775
430,0.15061357372495765
2204,0.15001444125421903
1700,0.14914320906139533
2072,0.1485513248534116
1375,0.1485073016824543
2073,0.14845129118681544
1347,0.1483588139383143
1831,0.14828897609106328
1008,0.14800780118295376
2071,0.14767455215930125
685,0.14745910818049857
2713,0.14723431128562514
2154,0.14700654988980788
1086,0.14632749312957993
2291,0.1462559454249055
2065,0.1461415160544528
2245,0.14570840306931365
2395,0.14559956889236836
866,0.145556752054101
315,0.14540980786125646
519,0.1450956770154117
1231,0.14455404573074637
2832,0.14434989940121268
41,0.14371042312241777
889,0.14351499575971327
2046,0.14303773682714338
1663,0.14250029855461332
1252,0.14239255070403356
831,0.14220130695727806
2380,0.14216028669766811
2213,0.14212083992974023
2751,0.14211916409752012
2695,0.14113131024444936
1142,0.1401254634198108
2335,0.13992532477849573
408,0.1396576088343091
2766,0.1396099411567182
1213,0.1391637837739208
1381,0.13878853077328035
888,0.13850218423515992
1906,0.13837192870025627
2243,0.13832991119082227
1016,0.13807372161729492
853,0.13805311915831164
29,0.13789626262404608
2219,0.13782356696843978
724,0.13683082670006042
848,0.13681843442332142
495,0.13677861338875053
2183,0.13616492827486337
1056,0.1359655144532661
803,0.13592771597748143
2701,0.135705222440746
886,0.13570247006183322
877,0.13545478499835828
2161,0.135405674511073
2085,0.13527481975936828
758,0.1345099838934407
2209,0.1344479153701439
348,0.13438029218237912
1448,0.13405673802755635
832,0.1339445813986948
839,0.13377050361017329
2047,0.13373246353146828
271,0.1334074388141835
555,0.13339597523501245
840,0.13329610229304323
767,0.1331559446345023
63,0.13309650464781786
479,0.13268844004275526
2412,0.13264950995004865
1747,0.13249733773286154
805,0.13247671571069208
1416,0.13240526634224392
2249,0.13203636595610013
1,0.13198158740132215
1687,0.13168119641517229
2540,0.1313277317397259
2473,0.13132065500725054
606,0.13105815043785252
1676,0.12929459603011928
233,0.1292384150250223
818,0.1292102990634696
2762,0.12891374939469924
1652,0.12888555517990286
224,0.12820254211453674
2176,0.12808304367924905
1678,0.1277913345856816
2081,0.12759899145970022
1054,0.1275733086029498
2383,0.12746635564305642
743,0.12746507475148028
1150,0.12697209064879122
2688,0.12695040390377033
2118,0.1265968635765653
2203,0.12657581009494856
1954,0.12625295874845022
500,0.12580860329335275
25,0.12575395164005165
2714,0.1257480262913977
323,0.12527546025246972
717,0.12526337730974557
1263,0.1252259658468442
823,0.12494015851965856
1918,0.12463968311824125
1123,0.1245823213766688
2547,0.12454868209999526
484,0.12422888378959263
1657,0.12419901831050062
2163,0.12415088673109365
826,0.12400333333360791
2491,0.12395970388109356
2205,0.12350235329929893
1746,0.12341416709086772
1085,0.12327232200784555
2411,0.12315452714062314
838,0.1230615881002175
2206,0.12296446232043312
2269,0.12289853457523447
854,0.12277707613534083
1877,0.12260242764900275
1366,0.12256139478278483
2120,0.12226411206619958
22,0.12225966137114463
664,0.12223026688374694
2074,0.12183866645045915
672,0.12144581298044432
2068,0.12135507533467882
662,0.12135477796491467
309,0.12103297955240855
817,0.12083119811625775
1344,0.12072553952762655
1739,0.12069180448615202
1198,0.12064363668101818
891,0.12063924205877452
815,0.12052198932252822
856,0.12047453652090478
1567,0.12029969172561827
2415,0.11995305114245802
1084,0.11974265347662905
1034,0.11963314367671729
908,0.11957555586835511
1634,0.11955084385293135
2236,0.119498047168354
2025,0.11949053596909387
2820,0.1194835037855908
1243,0.11938589637064645
2704,0.11925872586886288
191,0.11868479160452594
2202,0.11855683465149136
568,0.11845427106440809
2052,0.11831047941287598
574,0.11817250083372133
1571,0.11806441591873118
1221,0.11782028011332768
1238,0.11764122837655067
2594,0.11753743133951855
225,0.11716825802916886
1689,0.1168926263108121
1648,0.11679784034915364
2362,0.1166561788917031
341,0.11656828937037678
1565,0.11633053068370147
894,0.11607952012423772
174,0.11603086251561212
2195,0.11554107670478753
2683,0.11539873263425648
1658,0.11536723254393277
1778,0.11518895410868879
802,0.11507476575146613
873,0.11506739854555237
835,0.11474895896824311
2773,0.11446869445479035
1960,0.11444275723710473
150,0.11417290258469448
718,0.11397703389656622
816,0.11391189239045052
2060,0.11388592674663545
2,0.11379683315774414
2034,0.11358641157395688
2283,0.11347882163303336
2462,0.11327488262805296
715,0.1124224550991555
1378,0.11219200099574378
2334,0.11186572567720843
746,0.11186423817262514
1668,0.11170068705500191
670,0.11166475873527193
478,0.1113685974787344
1670,0.11129770256016602
303,0.11123903623318188
885,0.1109281145982195
393,0.11051644069159283
2310,0.11044567886541334
2716,0.11040997270411834
695,0.11039210774002917
2749,0.10987668141406304
1581,0.10955259825599017
1865,0.10917254951798072
2810,0.10912700503240313
2264,0.10912546341981066
861,0.10902000884088792
1094,0.10849812779247525
2117,0.10849782279991027
476,0.10845675537608601
506,0.10818866085762102
2365,0.10811627435179849
2143,0.10791468102481816
692,0.10781922664795296
2662,0.1077757143270277
1042,0.10773785103219802
731,0.10745962264217357
1921,0.10742020284778486
1222,0.10698858840946679
1349,0.10664246963042334
863,0.10647492767207467
2263,0.10642561860231936
726,0.10637782624497505
1090,0.10625464223320025
2146,0.10620682245154
112,0.10613996762606326
1300,0.10607807593743868
405,0.10586793772110892
1765,0.10586363890102057
2222,0.10579305883272827
1572,0.10537007690745837
99,0.10528194946030545
1595,0.10490288070496767
735,0.10484727541629213
308,0.10477903255150567
40,0.10464781637035081
2242,0.10455792103762218
100,0.10451122443095873
819,0.10440662125979205
676,0.10434355252025251
1862,0.10418569208552797
1840,0.10386577478530756
1345,0.1036009577683703
197,0.10346981869760241
1445,0.10335862734337731
2092,0.10315036581932646
1294,0.10294638387076249
2063,0.10272948222497402
967,0.10222574520430316
2621,0.10217340103431205
658,0.10194452235651674
1580,0.10189671228580988
1264,0.10176048743718802
1555,0.10169990205307289
369,0.10124352916326362
2661,0.10111203362100207
2178,0.10076139393809447
1588,0.10066140895575604
466,0.10063339511659719
1737,0.10063277774291479
1097,0.1005439063459943
1781,0.1004380622989729
114,0.10021367557458616
2744,0.10016630758584033
2435,0.10009818270831983
869,0.09995845911348744
2598,0.0997876810897691
1579,0.09910997529247711
951,0.09903626184300607
1519,0.09895544670036638
2755,0.09895185614734725
2107,0.09889831900980206
256,0.09889004444135785
101,0.09872731908049048
1419,0.09844576323237075
783,0.09832823668140778
532,0.09828980859189529
2039,0.09825862236486516
418,0.09817492760085367
487,0.09805638863659527
2268,0.0980456529653877
704,0.09775177805231694
2207,0.09759742682861372
1953,0.09747543121075353
514,0.09742698622907353
581,0.0973218358187764
1584,0.09721975900771307
352,0.09715758351849413
583,0.09714704394913176
800,0.09644464391525975
665,0.09614739792544902
1589,0.09602663494636898
1000,0.09601335294362667
2108,0.09591137032336494
904,0.09578500895396869
1596,0.09576653309680716
98,0.09517080776701214
2258,0.09513414130310105
2401,0.09476698529662686
1376,0.09471927720537376
2693,0.09463582462997011
1361,0.094538239899151
416,0.0945141547192192
1007,0.09448685115421296
2038,0.09409868792741394
2070,0.09399061646372253
813,0.09388765075146432
739,0.09372128187875828
2193,0.09313422899204338
1826,0.09305278583939347
1985,0.09290297383210389
1436,0.09271600251034995
732,0.09263798047820093
181,0.0925603487958726
2294,0.09253682438999533
1766,0.09243579223787957
696,0.09235810489777485
1354,0.0922601068957365
2548,0.09203914914928579
2208,0.09203023162737867
760,0.09202012568908668
1558,0.09193349010245022
2079,0.09182156172581668
1666,0.0917064858831862
2353,0.09169899200107978
1186,0.09129595059803752
1900,0.0911561480362586
2741,0.09113723349814418
379,0.09112095892304639
2277,0.09094851893326905
829,0.09068027846163629
2451,0.09066950403541685
2101,0.09048631962454023
1754,0.09037132729106179
687,0.09016602365077331
1557,0.09003656458787801
1027,0.0897983745526898
329,0.0897003634563347
2581,0.08969842067697842
1392,0.08969072742100148
