,0
2184,3.693419933319092
1646,1.325857400894165
2726,1.216575264930725
1656,1.2138625383377075
489,1.145520567893982
694,1.1297380924224854
691,0.8109956979751587
1689,0.8034690618515015
2663,0.7334729433059692
64,0.7100714445114136
1673,0.6888425946235657
373,0.6728575229644775
1592,0.5217418670654297
620,0.3879699110984802
1001,0.3841283917427063
1563,0.3638876974582672
1912,0.3569802939891815
2065,0.3459818661212921
2212,0.33259692788124084
2319,0.32462042570114136
830,0.3164394199848175
1726,0.2834146022796631
1474,0.27370378375053406
262,0.2682967185974121
16,0.2567574083805084
236,0.2540072798728943
1123,0.25066012144088745
347,0.24791012704372406
2413,0.23843808472156525
2213,0.07173111289739609
