,0
2184,0.35259238691086126
2104,0.08850490643412393
2032,0.0569077242168589
2154,0.05342484661299925
2725,0.046335834811582335
856,0.04570517273853134
1668,0.04281651568444909
1687,0.04225378651460602
854,0.03885594158412415
1663,0.035539101214620984
1059,0.030988273576961527
1006,0.030003401062542834
859,0.027677160600823297
1866,0.024676881868475917
2297,0.02278232820466141
1951,0.020247498376906342
906,0.013862019737775283
2123,0.009796316594809434
2331,0.009734734478710965
1353,0.007295168775575731
