,0
2184,8.226444244384766
1678,5.0018391609191895
1567,4.4592695236206055
174,4.366528511047363
692,3.7971980571746826
724,2.81701922416687
2751,2.537735939025879
484,2.4168925285339355
814,2.2418100833892822
743,2.1342546939849854
2034,1.9903315305709839
1656,1.9669854640960693
1900,1.7608754634857178
841,1.707065224647522
2428,1.4211688041687012
1581,1.405423879623413
672,1.3008345365524292
2039,1.2974365949630737
1663,1.2548660039901733
735,1.1719636917114258
1973,1.029874324798584
2723,1.0103970766067505
1910,0.9551669955253601
2383,0.9344631433486938
1584,0.8724284172058105
1069,0.6650245189666748
478,0.6483633518218994
302,0.6125556230545044
745,0.5982728004455566
414,0.5939964056015015
835,0.5356190204620361
2749,0.49835920333862305
829,0.42966556549072266
2056,0.4171433746814728
739,0.39182090759277344
1965,0.3862784206867218
1953,0.35022467374801636
2739,0.32762977480888367
487,0.3159021735191345
1243,0.30484917759895325
1007,0.3031908869743347
836,0.2902815341949463
852,0.27778857946395874
1906,0.27714768052101135
804,0.2630145847797394
1198,0.25757482647895813
1142,0.24986445903778076
847,0.21874813735485077
2762,0.21025419235229492
1960,0.19908910989761353
1056,0.18770548701286316
2435,0.1860625445842743
2101,0.18432068824768066
1014,0.15552771091461182
1146,0.13676859438419342
2436,0.1361207664012909
2063,0.1292949914932251
2081,0.11217159777879715
1596,0.1032705083489418
2047,0.09415882080793381
118,0.0876818373799324
1000,0.0696292296051979
873,0.06735017150640488
2079,0.054614465683698654
2070,0.05052677541971207
189,0.05024094507098198
179,0.0471121147274971
872,0.03525139391422272
225,0.03355645015835762
999,0.027648042887449265
233,0.024052327498793602
1126,0.02151643857359886
1035,0.020028183236718178
1143,0.019636033102869987
16,0.01940416544675827
1160,0.015867216512560844
