,0
2184,0.536930513497084
620,0.1093399091298768
830,0.07031208060944874
2663,0.043692000661383366
1563,0.0434117659096423
1123,0.04231651815288079
627,0.04016371064911327
1726,0.03696813993541184
16,0.03457526772801155
1689,0.027251641092664883
1474,0.026916780483589697
694,0.023690097056713127
2172,0.02339190086481513
2726,0.018226371271496355
2319,0.017188225809041488
1673,0.017175616543381577
1912,0.016150168677257597
236,0.006537080750226125
64,0.00189703458914607
1656,-0.010510698661924927
347,-0.012460897016410767
1646,-0.014336671212851931
373,-0.01528646540425447
2155,-0.016969517555910908
1592,-0.018675596646089553
691,-0.03511028250625458
262,-0.051816023681086315
489,-0.06978735801448957
2413,-0.07040177038298863
2065,-0.09195606534473807
1001,-0.1145304656679844
2212,-0.1481419369489348
2213,-0.18846057128597335
